student_id,vorname,nachname_initial,stadt,geburtsjahr,studienfach,sprache_deutsch,sprache_englisch,registriert_am,screening_bestanden,einsaetze_bisher,kundenbewertungen
S-3001,Viktor,L.,Berlin,2006,Wirtschaftswissenschaften,C1,C1,2026-09-17,ja,0,0
S-3002,Carla,C.,Köln,2005,Soziale Arbeit,B2,B1,2026-09-17,ja,0,0
S-3003,Nele,G.,Berlin,2006,Biologie,B1,C1,2026-09-07,ja,0,0
S-3004,Zoe,F.,Berlin,2002,Maschinenbau,muttersprachlich,B1,2026-09-03,ja,0,0
S-3005,Hakan,D.,Berlin,2005,Psychologie,muttersprachlich,B1,2026-09-09,ja,0,0
S-3006,Pia,A.,Berlin,2006,Wirtschaftswissenschaften,muttersprachlich,keine Angabe,2026-09-02,ja,0,0
S-3007,Pia,E.,Berlin,2001,Lehramt,B2,B2,2026-09-01,ja,0,0
S-3008,Ulla,Z.,Berlin,2006,Design,C1,B2,2026-09-11,ja,0,0
S-3009,Pia,S.,Berlin,2002,Informatik,B2,B1,2026-09-20,ja,0,0
S-3010,Lena,K.,Berlin,2000,Lehramt,B2,keine Angabe,2026-09-07,ja,0,0
S-3011,Finn,L.,Berlin,2002,Psychologie,C1,C1,2026-09-04,ja,0,0
S-3012,Carla,W.,Köln,2006,Wirtschaftswissenschaften,C1,B2,2026-09-04,ja,0,0
S-3013,Wanda,T.,Berlin,2003,Rechtswissenschaft,muttersprachlich,B1,2026-09-18,ja,0,0
S-3014,Rahel,D.,Berlin,2000,Wirtschaftswissenschaften,muttersprachlich,C1,2026-09-01,ja,0,0
S-3015,Sven,D.,Berlin,2005,Soziale Arbeit,muttersprachlich,B2,2026-09-11,ja,0,0
S-3016,Xenia,B.,Hamburg,2004,Biologie,B2,C1,2026-09-19,ja,0,0
S-3017,Hanna,P.,Frankfurt am Main,2004,Psychologie,C1,keine Angabe,2026-09-09,ja,0,0
S-3018,Ben,L.,Frankfurt am Main,1998,Wirtschaftswissenschaften,muttersprachlich,B2,2026-09-18,ja,0,0
S-3019,Tomke,K.,München,2001,Soziale Arbeit,B2,C1,2026-09-01,ja,0,0
S-3020,Zoe,I.,Berlin,1999,Soziale Arbeit,B2,B1,2026-09-13,ja,0,0
S-3021,Jonas,E.,Hamburg,2005,Maschinenbau,B2,keine Angabe,2026-09-10,ja,0,0
S-3022,Kevin,P.,Hamburg,2005,Design,muttersprachlich,C1,2026-09-21,ja,0,0
S-3023,Greta,N.,Berlin,2002,Rechtswissenschaft,muttersprachlich,B2,2026-09-17,ja,0,0
S-3024,Samir,W.,Hamburg,2005,Rechtswissenschaft,B2,B1,2026-09-17,ja,0,0
